Common Name,Latin Name,Family,Molecule A Name,Molecule A Class,Molecule B Name,Molecule B Class,Molecule C Name,Molecule C Class,Medicinal,Toxicity,General Information,Hardiness,Extra Links (Separate by Space),Record Created (Last Name[Date])
Red Maple,Acer rubrum L.,Sapinadaceae,Quebecol,phenolic compound[https://www.sciencedirect.com/science/article/pii/S1756464611000090?via%3Dihub],mapelexin compounds A-E,gallotanins[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3715094],pyrrogallol,"gallotannins broken down by esterases in the GI tract, is a leading cause of poisoning in horses[https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/acer-rubrum]","Quebecol from Red maple is being investigated for use in cosemetics.  Mapalexin compounds have shown in vitro activity that may asist in the management of blood glucose. Pyrrogallol is created through the breakdown of gallotannins from wilted and dry leaves in the GI tract, and can lead to poisioning in horses.",Yes,"State tree of Rhode Island's and common early succession species in Eastern Forests.  Like Acer saccharum, the sugar maple, sap can used for the production of maple syrup.  Folk Medicine uses include complaints of the eye, skin, use as a tonic, and vermifuge.[https://phytochem.nal.usda.gov/phytochem/ethnoPlants/show/267?qlookup=acer+rubrum&offset=0&max=20&et=]",3 to 9,,"(Akanegbu [10/28/2019], Leibovitz[6/10/2020])"
Aloe,Aloe vera L.,Xanthorrhoeaceae  ,Aloins,Anthrone C-glucoside[https://www.sciencedirect.com/science/article/pii/S2221618913601419],65 distinct bioactive compounds have been identified in Aloe[https://phytochem.nal.usda.gov/phytochem/plants/show/97?part=&_ubiq=&ubiq=on] ,,,,Aloe is used in laxitive preparations and for topical preparations to heal skin from cuts and burns.,No,Used in  wound healing for ﬁrst- to second-degree burns. Juice taken internally taken as a laxative.,10 to 12,,"(Akanegbu [10/28/2019], Leibovitz[6/10/2020])"
Ephedra Ma Huang,Ephedra sinica,Ephedraceae,Ephedrine,Alkaloid [https://www.sciencedirect.com/science/article/pii/S1875536418301237],Pseudoephedrine,Alkaloid[https://www.sciencedirect.com/science/article/pii/S0954611105004245],,"phenolic acid compounds, polysaccarides, flavanoids",,Yes,"Used in Traditional Chinese Medicine (TCM) for more than 5,000 years, primarily to treat asthma or bronchitis. Has many other benefecial uses such as pain relief, feverfuge, to help weight loss, treat cardiovascular diseases.  Ephedrine and pseodoephedrine are nervous system stimulant and have been abused as a weight loss and performance enhancing drugs resulting in high profile deaths in the 1990's.  Psuedoephedrine is naturally occuring, though most commercial ephedrine used for respitory ailments today is synthesised using specialized stands of yeast.",6 to 9,,"(Akanegbu [10/28/2019], Leibovitz[6/10/2020])"
Madagascar Periwinkle,Catharanthus roseus,Apocynaceae,Vincristine,organic heteropentacyclic compound[https://www.sciencedirect.com/science/article/pii/S0944711318304628],Vinblastine,Alkaloid[https://pubchem.ncbi.nlm.nih.gov/compound/Vinblastine],Vinorelobine,semi-synthetic vinca alkaloid derivative[https://www.sciencedirect.com/topics/medicine-and-dentistry/vinorelbine],"Vincristine, vinlastine and vinorelobine inhibit microtubule formation in dividing cells, arresting cell development",Yes,"Source of vincristine and vinblastine, anticancer drugs used in the chemotherapy treatment of various types of cancer. Can be dangerous if consumed. ",10 to 11,,"(Akanegbu [10/28/2019], Leibovitz [1/08/20])"
Banana,Musa acuminata Colla,Musaceae,Pectin,Carbohydrate polymer [https://www.sciencedirect.com/science/article/pii/S0924224417303849],Phosphatidylcholine,phospholipid[https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/phosphatidylcholine],"Catecholamines: dopamine, norepinephrine",phenolic compounds[https://www.sciencedirect.com/science/article/pii/S0924224417303849],"Pectin was formerly used as an overcounter treatment for diahrrea, bananas have traditionally been used in this way.  Phosophatidycholine occurs in green bananas, also in the mucous layer of the colon, suggesting its use for gastrointenstional compaints.[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627159/] . Tradional medicine have use every part of the banana for a variety of medicinal and economic uses.  Various parts of the plant have shown anti-microbial activity.",No.,"Bananas are the world's largest herbaceous perrenial and a valuable high energy food. Bananas are an excellent source of potassium, vitamin B6 and contain moderate amounts of vitamin C, manganese and dietary fiber.   Traditional medicinal uses of Musaceae species include treatments for diarrhea and ulcers and over 100 other common ailments.[https://phytochem.nal.usda.gov/phytochem/ethnoPlants/show/352?qlookup=banana&offset=0&max=20&et=]",10 to 11,,"(Akanegbu [10/28/2019],  Leibovitz [1/08/20])"
Stevia,Stevia rebaudiana,Asteraceae,Steviaside,Stevol glycosides[https://www.sciencedirect.com/science/article/pii/S1756464619303895],rebaudiside A,rebaudiside A [https://www.sciencedirect.com/topics/medicine-and-dentistry/rebaudioside-a],,,"Studies are underway investigating antiviral, antimicrobrial, antihypertensive, immunmodulating and heptoprotective qualities.  Widely used to in the management of diabetes because of hypoglycemic activity and use as a sugar substitute.",No.,"Widely grown for its sweet leaves, which contain steviol glycosides responsible for its sweet taste.  Used as a sugar substitute, also shows promise for anti-inflammatory, immunmodulating, and antomicrobial effects",10 to 11,,"(Akanegbu [10/28/2019]  Leibovitz [1/08/20], [8/05/20]"
Indian snakeroot,Rauwolfia serpentina,Apocynaceae,Reserpine,Alkaloid [https://www.sciencedirect.com/science/article/pii/S0006291X15008955],ajmalicine,monoterpenoid indole alkaloid [https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/ajmalicine],,,Reserpine slows the activity of the central nervous system.  It has been used for psyciatric use and blood vessel disorders.  Ajmalicine has been used for blood vessel disorders.,Yes. Lipid soluable and can cross blood brain barrier.  Reserprine inhibits uptake of important neurotransmitters.,Reserpine is an alkaloid first isolated from R. serpentina and was widely used as an antihypertensive drug.,10 to 12,,"(Akanegbu [10/28/2019], Leibovitz[8/05/2020])"
Coffee ,Coffea Arabica,Rubiaceae,Caffeine,Alkaloid [https://www.sciencedirect.com/science/article/pii/S0197018619305169],,,,,Coffee is native to Ethiopia and the first evidence of a commercial coffee trade is found in Yemen.  During Sufi religious rituals coffee would be consumed for its stimulating effects.,No.,"Coffea arabica is believed to be the first species of coffee to be cultivated, being grown in southwest Ethiopia for well over 1,000 years. Caffeine is the most widely used stimulant worldwide.  ",10,"[https://ed.ted.com/lessons/how-does-caffeine-keep-us-awake-hanan-qasim], ",(Akanegbu [10/28/2019])
Sugar Cane,Saccharum officinarum L.,Poaceae,Sucrose,Sugar[https://www.sciencedirect.com/science/article/pii/S0960308519308946],Glucans,immunmodulating polysaccarides [https://www.sciencedirect.com/science/article/pii/S0141813018348530],,,,No.,"Source of industrial sugar and ethanol production.  Folk medicine treatment for wide variety of complaints from constipation to coughs, and has been used externally to treat skin problems and aid in wound healing. Both the roots and stems are used in Ayurvedic medicine to treat skin and urinary tract infections, as well as for bronchitis, heart conditions, loss of milk production, cough, anemia, and constipation. ",9 to 10,,"(Akanegbu [10/28/2019], Leibovitz [08/05/20)"
Papaya,Carica papaya L.,Caricaceae,Papain,Enzyme [https://www.sciencedirect.com/science/article/pii/S0924224417301838],,,,,,,"Fruit and the tree's latex are rich in papain, a protease used for tenderizing meat and other proteins.",10 to 12,,(Akanegbu [10/28/2019])
