"Activities Count","Chemical","Plant Part","Low PPM","High PPM","StdDev","Refernce Citation"
"30","(+)-CATECHIN","Tissue Culture",,,,"Jim Duke's personal files."
"30","(+)-CATECHIN","Leaf",,,,"Jim Duke's personal files."
"4","(+)-CATECHOL","Leaf",,,,"Jim Duke's personal files."
"7","(+)-GALLOCATECHIN","Leaf",,,,"Jim Duke's personal files."
"0","(+)-GALLOCATECHOL","Leaf",,,,"Jim Duke's personal files."
"0","(+)-PINITOL","Pollen Or Spore",,"76.0",,"Jim Duke's personal files."
"0","(+)-SESAMIN","Heart Wood",,,,"Jim Duke's personal files."
"0","(+)-SESAMIN","Wood",,,,"Jim Duke's personal files."
"0","(-)-EPI-GALLO-CATECHOL","Leaf",,,,"Jim Duke's personal files."
"38","(-)-EPICATECHIN","Leaf",,,,"Jim Duke's personal files."
"0","(-)-EPICATECHOL","Leaf",,,,"Jim Duke's personal files."
"21","(-)-EPIGALLOCATECHIN","Leaf",,,,"Jim Duke's personal files."
"0","(E)-ATLANTONE","Heart Wood",,,,"Jim Duke's personal files."
"0","(Z)-ATLANTONE","Heart Wood",,,,"Jim Duke's personal files."
"0","1,4-DIMETHYL-2,5-DIISOPROPYLBENZENE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","1,4-DIMETHYL-2,5-DIISOPROPYLBENZENE","Essential Oil",,,,"Jim Duke's personal files."
"0","10,11-(E)-6-OXO-DIHYDROATLANTONE","Plant",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","10,11-(E)-DIHYDROATLANTONE","Plant",,,,"J.S. Glasby Dict.Pls Containing 2ndary Metabolite. 1991."
"0","10,11-(Z)-DIHYDROATLANTONE","Plant",,,,"J.S. Glasby Dict.Pls Containing 2ndary Metabolite. 1991."
"0","10-HEPTACOSANOL","Leaf Wax",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"0","10-NONACOSANOL","Leaf",,,,"--"
"0","13-NONACOSANOL","Leaf",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"0","15-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","16-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","17-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","18-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","19-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","2,5,8-TRIMETHYLDIHYDRONAPHTHALENE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","2-CARBOXYARABINITOL","Leaf",,,,"Jim Duke's personal files."
"0","2-HEXENAL","Plant",,,,"--"
"0","2-ISOPROPYLPHENOL","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","2-ISOPROPYLPHENOL","Essential Oil",,,,"Jim Duke's personal files."
"0","20-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","21-BETULAPRENOL","Leaf",,,,"Jim Duke's personal files."
"0","24ALPHA-ETHYLLATHOSTEROL","Plant",,,,"J.S. Glasby Dict.Pls Containing 2ndary Metabolite. 1991."
"0","3'-O-METHYLMYRICETIN-3-RUTINOSIDE","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","3'-O-METHYLMYRICETRIN-3-O-GLUCOSIDE","Leaf",,,,"--"
"3","3,4-DIHYDROXYBENZOIC-ACID","Leaf",,,,"--"
"0","3-O-[2''-O-6''-O-BIS-(ALPHA-L-RHAMNOSYL)-BETA-D-GLUCOSYL-ISORHAMNETIN","Leaf",,,,"--"
"0","3-O-[2''-O-6''-O-BIS-(ALPHA-L-RHAMNOSYL)-BETA-D-GLUCOSYL-KAEMPFEROL","Leaf",,,,"--"
"0","3-O-[2''-O-6''-O-BIS-(ALPHA-L-RHAMNOSYL)-BETA-D-GLUCOSYL-QUERCETIN","Leaf",,,,"--"
"0","3-O-[2''-O-[6''-O-(P-(BETA-D-GLUCOSYLOXY)-TRANS-CINNAMOYL)-BETA-D-GLUCOSYL]-ALPHA-L-RHAMNOSYL-KAEMPFEROL","Leaf",,,,"--"
"0","3-O-[2''-O-[6''-O-(P-(BETA-D-GLUCOSYLOXY)-TRANS-CINNAMOYL)-BETA-D-GLUCOSYL]-ALPHA-L-RHAMNOSYL-QUERCETIN","Leaf",,,,"--"
"0","3-O-[2''-O-[6''-O-(P-HYDROXY-TRANS-CINNAMOYL)-BETA-D-GLUCOSYL]-ALPHA-L-RHAMNOSYL-7-O-(BETA-D-GLUCOSYL)-QUERCETIN","Leaf",,,,"--"
"0","3-O-[2''-O-[6''-O-(P-HYDROXY-TRANS-CINNAMOYL)-BETA-D-GLUCOSYL]-ALPHA-L-RHAMNOSYL-QUERCETIN","Leaf",,,,"--"
"0","3-O-[2''-O-[6''-O-(P-HYDROXY-TRANS-CINNAMOYL)-BETA-D-GLUCOSYL]-ALPHA-L-RHAMNOSYL]-KAEMPFEROL","Leaf",,,,"--"
"0","4'-METHOXYPYRIDOXINE","Seed",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","4-4'-(PENTA-CIS-1-CIS-5-DIENE-1-5-DIYNYL)-DIPHENOL","Leaf",,"22.7",,"Jim Duke's personal files."
"0","4-HYDROXY-BENZOIC-ACID","Leaf",,,,"--"
"0","4-HYDROXYANACARDIC-ACID","Fruit",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","4-HYDROXYGINKGOLIC-ACID","Fruit",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","4-O-METHYL-PYRIDOXINE","Leaf",,,,"--"
"0","4-O-METHYL-PYRIDOXINE","Seed",,,,"--"
"0","5'-METHOXYBILOBETIN","Leaf",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"0","5-6-EPOXYLUTEIN","Tissue Culture",,,,"Jim Duke's personal files."
